user_id,project_1,project_2,project_3,project_4,project_5,project_6,project_7,project_8,project_9,project_10,project_11,project_12,project_13,project_14,project_15
2100379,4,5,9,16,6,14,2,17,23,19,18,21,10,26,25
2101599,2,1,3,6,7,8,9,10,11,12,13,15,16,14,17
2100491,13,27,11,10,3,6,12,28,14,25,7,2,26,5,4
2100435,2,17,5,4,16,9,6,14,3,8,7,10,27,20,19
2100274,1,3,11,8,6,7,10,12,13,15,21,2,9,14,4
2100558,4,5,9,6,23,20,14,27,17,2,19,16,3,21,1
2100741,2,17,1,8,4,5,9,16,6,26,10,12,14,15,18
2101008,26,23,27,6,14,20,19,21,25,24,9,22,18,2,10
2101475,16,4,5,2,17,9,14,3,6,1,8,11,13,27,24
2101403,20,19,23,18,9,4,16,5,14,27,21,2,17,26,11
2101364,2,17,16,5,1,2,2,2,2,2,2,2,2,2,2
2100508,17,2,4,16,9,5,14,18,19,20,21,22,23,11,8
2100550,1,3,11,8,7,10,12,13,17,4,5,2,9,15,28
2201091,16,4,5,17,2,9,14,8,27,13,19,19,13,8,11
2100544,1,3,11,8,7,10,12,13,17,4,5,2,9,15,28
2100578,17,16,5,2,9,4,14,27,15,20,6,28,27,6,1
2100420,2,5,4,17,16,23,2,2,2,2,2,2,2,2,2
2100869,4,16,9,5,14,6,1,2,3,7,8,9,13,28,26
2101023,4,9,16,5,6,14,2,17,3,23,27,26,18,20,19
2100495,4,9,5,6,14,27,26,28,25,18,20,21,7,1,2
2100694,1,3,7,8,11,10,12,13,15,19,26,16,28,24,5
2101780,16,4,5,17,2,6,9,11,10,13,13,25,27,26,28
2100395,8,3,1,6,7,10,2,15,12,18,28,4,5,21,14
2100739,8,3,7,12,13,10,11,2,27,25,26,28,24,15,1
2101040,17,2,16,4,9,5,12,6,1,11,14,23,26,15,28
2101114,1,3,11,8,15,7,10,12,13,5,4,17,22,23,27
2100374,1,3,11,8,7,10,12,13,17,4,5,2,9,15,28
2101011,16,4,9,5,6,14,23,26,27,24,25,19,18,21,7
2101209,8,3,10,11,12,17,2,13,27,1,25,1,9,9,15
2101212,17,2,4,16,5,3,1,28,8,11,12,10,6,13,9
